Resumen de solapamientos — Feature: feature_1
Tolerancia: 0.0
Total coincidencias: 12933
Pares de páginas con solapamiento: 1987

Par de páginas                            Solapamientos
pagina_100 <-> pagina_76                             11
pagina_100 <-> pagina_81                             11
pagina_37 <-> pagina_39                             11
pagina_46 <-> pagina_48                             11
pagina_46 <-> pagina_49                             11
pagina_47 <-> pagina_49                             11
pagina_49 <-> pagina_50                             11
pagina_52 <-> pagina_54                             11
pagina_52 <-> pagina_93                             11
pagina_52 <-> pagina_97                             11
pagina_53 <-> pagina_94                             11
pagina_57 <-> pagina_58                             11
pagina_60 <-> pagina_95                             11
pagina_61 <-> pagina_94                             11
pagina_63 <-> pagina_68                             11
pagina_63 <-> pagina_85                             11
pagina_63 <-> pagina_90                             11
pagina_65 <-> pagina_70                             11
pagina_65 <-> pagina_74                             11
pagina_65 <-> pagina_86                             11
pagina_67 <-> pagina_74                             11
pagina_67 <-> pagina_76                             11
pagina_67 <-> pagina_98                             11
pagina_68 <-> pagina_73                             11
pagina_68 <-> pagina_88                             11
pagina_69 <-> pagina_95                             11
pagina_70 <-> pagina_75                             11
pagina_70 <-> pagina_96                             11
pagina_70 <-> pagina_99                             11
pagina_71 <-> pagina_98                             11
pagina_72 <-> pagina_78                             11
pagina_72 <-> pagina_79                             11
pagina_72 <-> pagina_85                             11
pagina_72 <-> pagina_86                             11
pagina_72 <-> pagina_97                             11
pagina_75 <-> pagina_90                             11
pagina_76 <-> pagina_86                             11
pagina_76 <-> pagina_95                             11
pagina_76 <-> pagina_97                             11
pagina_76 <-> pagina_99                             11
pagina_77 <-> pagina_83                             11
pagina_77 <-> pagina_87                             11
pagina_77 <-> pagina_92                             11
pagina_77 <-> pagina_96                             11
pagina_78 <-> pagina_80                             11
pagina_78 <-> pagina_87                             11
pagina_79 <-> pagina_93                             11
pagina_81 <-> pagina_97                             11
pagina_83 <-> pagina_93                             11
pagina_84 <-> pagina_92                             11
pagina_84 <-> pagina_93                             11
pagina_100 <-> pagina_66                             10
pagina_100 <-> pagina_71                             10
pagina_100 <-> pagina_74                             10
pagina_28 <-> pagina_29                             10
pagina_33 <-> pagina_34                             10
pagina_37 <-> pagina_38                             10
pagina_37 <-> pagina_40                             10
pagina_41 <-> pagina_42                             10
pagina_43 <-> pagina_45                             10
pagina_45 <-> pagina_49                             10
pagina_48 <-> pagina_50                             10
pagina_51 <-> pagina_95                             10
pagina_52 <-> pagina_53                             10
pagina_52 <-> pagina_56                             10
pagina_52 <-> pagina_92                             10
pagina_53 <-> pagina_55                             10
